,SeasonalNaive_28,LGBMRegressor,NBEATS,Chronos,SeasonalNaive_365,NHITS,SeasonalNaive_14,AutoARIMA,SeasonalNaive_7,Naive,best_series_model
hotel_0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_35,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,SeasonalNaive_28
hotel_42,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_84,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_91,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_105,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_133,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,NHITS
hotel_21,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,LGBMRegressor
hotel_56,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,SeasonalNaive_14
hotel_7,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_98,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,LGBMRegressor
hotel_112,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Chronos
hotel_126,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NBEATS
hotel_63,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,NBEATS
hotel_14,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,Chronos
hotel_70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,Naive
hotel_49,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,SeasonalNaive_14
