unique_id,ds,Chronos
hotel_0,2023-07-01,0.7433561
hotel_0,2023-07-02,0.7277593
hotel_0,2023-07-03,0.7252668
hotel_0,2023-07-04,0.7306521
hotel_0,2023-07-05,0.7319121
hotel_0,2023-07-06,0.7367949
hotel_0,2023-07-07,0.7433203
hotel_0,2023-07-08,0.74446726
hotel_0,2023-07-09,0.7324859
hotel_0,2023-07-10,0.73141456
hotel_0,2023-07-11,0.74025595
hotel_0,2023-07-12,0.73499155
hotel_0,2023-07-13,0.7367829
hotel_0,2023-07-14,0.7438309
hotel_0,2023-07-15,0.74234444
hotel_0,2023-07-16,0.73070896
hotel_0,2023-07-17,0.73131377
hotel_0,2023-07-18,0.7364431
hotel_0,2023-07-19,0.73200333
hotel_0,2023-07-20,0.73432934
hotel_0,2023-07-21,0.7416243
hotel_0,2023-07-22,0.7400138
hotel_0,2023-07-23,0.7329978
hotel_0,2023-07-24,0.7304363
hotel_0,2023-07-25,0.7358212
hotel_0,2023-07-26,0.7370304
hotel_0,2023-07-27,0.7421707
hotel_0,2023-07-28,0.74692905
hotel_105,2023-07-01,1.0053966
hotel_105,2023-07-02,1.0054973
hotel_105,2023-07-03,1.0089844
hotel_105,2023-07-04,1.0115607
hotel_105,2023-07-05,1.0105768
hotel_105,2023-07-06,1.0076852
hotel_105,2023-07-07,1.0023879
hotel_105,2023-07-08,1.0002759
hotel_105,2023-07-09,1.0023062
hotel_105,2023-07-10,1.0049325
hotel_105,2023-07-11,1.0076126
hotel_105,2023-07-12,1.0086112
hotel_105,2023-07-13,1.0066111
hotel_105,2023-07-14,1.0003133
hotel_105,2023-07-15,0.99819684
hotel_105,2023-07-16,1.0006741
hotel_105,2023-07-17,1.0044878
hotel_105,2023-07-18,1.0079631
hotel_105,2023-07-19,1.009414
hotel_105,2023-07-20,1.0083278
hotel_105,2023-07-21,1.002354
hotel_105,2023-07-22,0.99864143
hotel_105,2023-07-23,1.000821
hotel_105,2023-07-24,1.0054525
hotel_105,2023-07-25,1.0077783
hotel_105,2023-07-26,1.0084943
hotel_105,2023-07-27,1.0085272
hotel_105,2023-07-28,1.0032337
hotel_112,2023-07-01,0.9332301
hotel_112,2023-07-02,0.91618013
hotel_112,2023-07-03,0.90627694
hotel_112,2023-07-04,0.9048017
hotel_112,2023-07-05,0.90750945
hotel_112,2023-07-06,0.9161782
hotel_112,2023-07-07,0.93123865
hotel_112,2023-07-08,0.9451995
hotel_112,2023-07-09,0.9538483
hotel_112,2023-07-10,0.9556969
hotel_112,2023-07-11,0.95163494
hotel_112,2023-07-12,0.9460319
hotel_112,2023-07-13,0.9392637
hotel_112,2023-07-14,0.9252404
hotel_112,2023-07-15,0.9029315
hotel_112,2023-07-16,0.87325156
hotel_112,2023-07-17,0.8434756
hotel_112,2023-07-18,0.8291128
hotel_112,2023-07-19,0.83047706
hotel_112,2023-07-20,0.8345771
hotel_112,2023-07-21,0.8451065
hotel_112,2023-07-22,0.8643867
hotel_112,2023-07-23,0.88449544
hotel_112,2023-07-24,0.89502656
hotel_112,2023-07-25,0.8963066
hotel_112,2023-07-26,0.8904227
hotel_112,2023-07-27,0.88674945
hotel_112,2023-07-28,0.88661754
hotel_126,2023-07-01,0.9966922
hotel_126,2023-07-02,0.9973397
hotel_126,2023-07-03,0.99800265
hotel_126,2023-07-04,0.9981499
hotel_126,2023-07-05,0.9977693
hotel_126,2023-07-06,0.99802136
hotel_126,2023-07-07,0.99834716
hotel_126,2023-07-08,0.9984991
hotel_126,2023-07-09,0.99831605
hotel_126,2023-07-10,0.9983261
hotel_126,2023-07-11,0.9982108
hotel_126,2023-07-12,0.9985639
hotel_126,2023-07-13,0.9986327
hotel_126,2023-07-14,0.9985588
hotel_126,2023-07-15,0.99856645
hotel_126,2023-07-16,0.998585
hotel_126,2023-07-17,0.99824625
hotel_126,2023-07-18,0.9984353
hotel_126,2023-07-19,0.998539
