unique_id,ds,NBEATS,NHITS
hotel_0,2023-06-03,0.9758316,0.8271435
hotel_0,2023-06-04,0.71078116,0.6538539
hotel_0,2023-06-05,0.7077779,0.92525554
hotel_0,2023-06-06,0.77719265,0.93504083
hotel_0,2023-06-07,0.60281324,0.7805307
hotel_0,2023-06-08,0.5481004,0.66110504
hotel_0,2023-06-09,0.7828692,0.67945856
hotel_0,2023-06-10,0.95127356,0.86731774
hotel_0,2023-06-11,0.6007102,0.6182841
hotel_0,2023-06-12,0.7305938,0.7891557
hotel_0,2023-06-13,0.7105715,0.8726758
hotel_0,2023-06-14,0.7253426,0.98053503
hotel_0,2023-06-15,0.7583947,1.0014392
hotel_0,2023-06-16,0.8434888,1.0131093
hotel_0,2023-06-17,0.9518066,1.0513457
hotel_0,2023-06-18,0.76375765,0.688683
hotel_0,2023-06-19,1.0311179,0.70629936
hotel_0,2023-06-20,0.989532,0.8037382
hotel_0,2023-06-21,0.903402,0.8295812
hotel_0,2023-06-22,0.89175594,0.98366874
hotel_0,2023-06-23,0.91156495,1.0271206
hotel_0,2023-06-24,0.97226053,1.0283865
hotel_0,2023-06-25,0.6869998,0.75647223
hotel_0,2023-06-26,0.7635756,0.5998704
hotel_0,2023-06-27,0.9554169,0.8736966
hotel_0,2023-06-28,1.1167665,0.8730822
hotel_0,2023-06-29,0.96557367,0.85506904
hotel_0,2023-06-30,0.648836,0.9343825
hotel_105,2023-06-03,0.95654815,0.92961663
hotel_105,2023-06-04,0.7594291,0.78371656
hotel_105,2023-06-05,0.84994185,0.86313754
hotel_105,2023-06-06,0.8760878,0.94475156
hotel_105,2023-06-07,0.8687749,0.9978161
hotel_105,2023-06-08,0.77714515,0.9454657
hotel_105,2023-06-09,0.87941086,0.98320425
hotel_105,2023-06-10,0.9691124,0.98990744
hotel_105,2023-06-11,0.81074464,0.84100986
hotel_105,2023-06-12,0.78881425,0.9141773
hotel_105,2023-06-13,0.80039406,0.9671694
hotel_105,2023-06-14,0.7963835,0.9589531
hotel_105,2023-06-15,0.78236324,0.9112033
hotel_105,2023-06-16,0.8427653,0.9416301
hotel_105,2023-06-17,0.93173754,0.948325
hotel_105,2023-06-18,0.8079407,0.8163786
hotel_105,2023-06-19,0.9807777,0.9912791
hotel_105,2023-06-20,1.041119,1.033631
hotel_105,2023-06-21,1.0501802,1.0390822
hotel_105,2023-06-22,0.92012584,0.97702086
hotel_105,2023-06-23,0.97085875,0.988105
hotel_105,2023-06-24,0.88944864,0.95402086
hotel_105,2023-06-25,0.728495,0.8236871
hotel_105,2023-06-26,0.8737386,0.95153385
hotel_105,2023-06-27,0.9417449,1.0006337
hotel_105,2023-06-28,0.9250023,1.0062393
hotel_105,2023-06-29,0.8906576,0.9090564
hotel_105,2023-06-30,0.9401626,0.9213467
hotel_112,2023-06-03,0.85665166,0.8483407
hotel_112,2023-06-04,0.81838006,0.8460709
hotel_112,2023-06-05,0.8855807,0.859738
hotel_112,2023-06-06,0.854319,0.8754868
hotel_112,2023-06-07,0.86647135,0.87510264
hotel_112,2023-06-08,0.8284724,0.8855877
hotel_112,2023-06-09,0.8966322,0.9205314
hotel_112,2023-06-10,0.964023,0.95014906
hotel_112,2023-06-11,0.89834356,0.93223774
hotel_112,2023-06-12,0.9499509,0.9616499
hotel_112,2023-06-13,0.9274807,0.9864524
hotel_112,2023-06-14,0.8594019,0.9764662
hotel_112,2023-06-15,0.9217131,0.9280556
hotel_112,2023-06-16,0.94550896,0.9444759
hotel_112,2023-06-17,0.9384687,0.9708829
hotel_112,2023-06-18,0.8781282,0.9268637
hotel_112,2023-06-19,0.8940445,0.92996305
hotel_112,2023-06-20,0.88807946,0.98375726
hotel_112,2023-06-21,0.8664384,0.96439326
hotel_112,2023-06-22,0.866734,0.963656
hotel_112,2023-06-23,0.94096065,1.0045388
hotel_112,2023-06-24,1.0261248,1.0056741
hotel_112,2023-06-25,0.90377545,0.946228
hotel_112,2023-06-26,0.96599865,0.99096936
hotel_112,2023-06-27,0.9418963,0.9973523
hotel_112,2023-06-28,0.9316111,0.9857818
hotel_112,2023-06-29,0.8333916,1.002091
hotel_112,2023-06-30,0.84544367,1.0352223
hotel_126,2023-06-03,0.99552613,0.99987173
hotel_126,2023-06-04,0.967577,0.9760899
hotel_126,2023-06-05,0.9734733,0.97788656
hotel_126,2023-06-06,0.986218,0.9790759
hotel_126,2023-06-07,0.9680955,0.99015033
hotel_126,2023-06-08,0.9457004,0.9676902
hotel_126,2023-06-09,0.9757821,0.98706
hotel_126,2023-06-10,0.9926776,0.9919494
hotel_126,2023-06-11,0.95996,0.9590697
hotel_126,2023-06-12,0.9635825,0.9719206
hotel_126,2023-06-13,0.9736015,0.98510176
hotel_126,2023-06-14,0.975388,0.9879332
hotel_126,2023-06-15,0.9534248,0.9701811
hotel_126,2023-06-16,0.9773738,0.9882043
hotel_126,2023-06-17,0.9794376,0.98633516
hotel_126,2023-06-18,0.9579006,0.95592743
hotel_126,2023-06-19,0.9624794,0.97027475
hotel_126,2023-06-20,0.9738974,0.9752783
hotel_126,2023-06-21,0.9585414,0.9794717
hotel_126,2023-06-22,0.9662724,0.96164495
hotel_126,2023-06-23,0.9752669,0.9851955
hotel_126,2023-06-24,0.9831898,0.9960972
hotel_126,2023-06-25,0.95765436,0.95529044
hotel_126,2023-06-26,0.93836397,0.95934963
hotel_126,2023-06-27,0.96706295,0.967952
hotel_126,2023-06-28,0.9634539,0.9786457
hotel_126,2023-06-29,0.95416284,0.9608195
hotel_126,2023-06-30,0.9812425,0.9786431
hotel_133,2023-06-03,0.9482126,0.9868668
hotel_133,2023-06-04,0.8615117,0.9599637
hotel_133,2023-06-05,0.89194846,0.96667546
hotel_133,2023-06-06,0.94559693,0.9822077
hotel_133,2023-06-07,0.9331221,0.98488337
hotel_133,2023-06-08,0.9096788,0.97389734
hotel_133,2023-06-09,0.9658746,0.9603332
hotel_133,2023-06-10,0.9069168,0.96759963
hotel_133,2023-06-11,0.90171564,0.94434273
hotel_133,2023-06-12,0.8936018,0.9834414
hotel_133,2023-06-13,0.9323049,1.0027409
hotel_133,2023-06-14,0.905105,0.9850666
hotel_133,2023-06-15,0.97130525,0.98314154
hotel_133,2023-06-16,1.0377221,0.9816069
hotel_133,2023-06-17,1.001029,0.96828413
hotel_133,2023-06-18,0.9527792,0.9195554
hotel_133,2023-06-19,0.84437907,0.92741966
hotel_133,2023-06-20,0.85009825,0.9560094
hotel_133,2023-06-21,0.89153606,0.9587887
hotel_133,2023-06-22,0.93057877,0.9600583
hotel_133,2023-06-23,0.9414059,0.9744448
hotel_133,2023-06-24,0.91329664,0.9686296
hotel_133,2023-06-25,0.84814745,0.942227
hotel_133,2023-06-26,0.82876706,0.9635075
hotel_133,2023-06-27,0.8783889,0.975788
hotel_133,2023-06-28,0.82944,0.973687
hotel_133,2023-06-29,0.8235758,0.9769201
hotel_133,2023-06-30,0.8825805,0.9703578
hotel_14,2023-06-03,0.6159522,0.572484
hotel_14,2023-06-04,0.40116152,0.3950498
hotel_14,2023-06-05,0.4989529,0.55826885
hotel_14,2023-06-06,0.5774034,0.648078
hotel_14,2023-06-07,0.7612413,0.67125267
hotel_14,2023-06-08,0.71884537,0.66301596
hotel_14,2023-06-09,0.61763906,0.5652972
hotel_14,2023-06-10,0.6298866,0.6137772
hotel_14,2023-06-11,0.46482295,0.5778723
hotel_14,2023-06-12,0.6528508,0.75232995
hotel_14,2023-06-13,0.62707937,0.7491488
hotel_14,2023-06-14,0.6365132,0.73362267
hotel_14,2023-06-15,0.5738182,0.65329736
hotel_14,2023-06-16,0.6814087,0.61201215
hotel_14,2023-06-17,0.5931696,0.5824893
hotel_14,2023-06-18,0.39544526,0.2753546
hotel_14,2023-06-19,0.6870572,0.502581
hotel_14,2023-06-20,0.7282113,0.57440734
hotel_14,2023-06-21,0.78174007,0.52692235
hotel_14,2023-06-22,0.7788955,0.3564049
hotel_14,2023-06-23,0.8187136,0.445467
hotel_14,2023-06-24,0.68629086,0.52593136
hotel_14,2023-06-25,0.412442,0.3194663
hotel_14,2023-06-26,0.5134084,0.34418228
hotel_14,2023-06-27,0.54735756,0.39735198
hotel_14,2023-06-28,0.6108922,0.44271752
hotel_14,2023-06-29,0.61670506,0.47492647
hotel_14,2023-06-30,0.7422639,0.58161974
hotel_21,2023-06-03,0.98627263,0.983071
hotel_21,2023-06-04,0.8899037,0.9773654
hotel_21,2023-06-05,0.8820962,0.9416958
hotel_21,2023-06-06,0.922162,0.96989834
hotel_21,2023-06-07,0.92876995,0.9847939
hotel_21,2023-06-08,0.9654913,0.99135923
hotel_21,2023-06-09,0.9962022,0.9895639
hotel_21,2023-06-10,0.9925713,0.9761337
hotel_21,2023-06-11,0.906351,0.950746
hotel_21,2023-06-12,0.87404096,0.9337987
hotel_21,2023-06-13,0.9185607,0.9650862
hotel_21,2023-06-14,0.9299827,0.97688913
hotel_21,2023-06-15,0.95914096,0.99028313
hotel_21,2023-06-16,0.99742246,0.9892391
hotel_21,2023-06-17,0.9877515,0.9865244
hotel_21,2023-06-18,0.96213853,0.9861084
hotel_21,2023-06-19,0.87524974,0.97601163
hotel_21,2023-06-20,0.9203074,0.97451395
hotel_21,2023-06-21,0.8925123,0.97641885
hotel_21,2023-06-22,0.85742927,0.9840722
hotel_21,2023-06-23,0.91507024,0.9944986
hotel_21,2023-06-24,0.96736586,0.99251753
hotel_21,2023-06-25,0.9207458,1.0020438
hotel_21,2023-06-26,0.84957176,0.975123
hotel_21,2023-06-27,0.8812778,0.9819963
hotel_21,2023-06-28,0.8287418,0.9854176
hotel_21,2023-06-29,0.8530551,0.983007
hotel_21,2023-06-30,0.8917152,0.9780595
hotel_35,2023-06-03,0.47237986,0.46876374
hotel_35,2023-06-04,0.44799873,0.4850074
hotel_35,2023-06-05,0.5226558,0.5200554
hotel_35,2023-06-06,0.5648154,0.5150215
hotel_35,2023-06-07,0.5441199,0.5597456
hotel_35,2023-06-08,0.6302205,0.62174326
hotel_35,2023-06-09,0.7119095,0.6070097
hotel_35,2023-06-10,0.62587255,0.5820783
hotel_35,2023-06-11,0.64165705,0.5767592
hotel_35,2023-06-12,0.7328317,0.5448907
hotel_35,2023-06-13,0.7211946,0.5921731
hotel_35,2023-06-14,0.7551297,0.6455066
hotel_35,2023-06-15,0.7242968,0.61496425
hotel_35,2023-06-16,0.6140609,0.58460563
hotel_35,2023-06-17,0.50363255,0.63854766
hotel_35,2023-06-18,0.4535663,0.6831401
hotel_35,2023-06-19,0.5555869,0.6460683
hotel_35,2023-06-20,0.5677916,0.68680817
hotel_35,2023-06-21,0.6213181,0.6437348
hotel_35,2023-06-22,0.5941042,0.63086283
hotel_35,2023-06-23,0.5684044,0.6154974
hotel_35,2023-06-24,0.42835316,0.5970406
hotel_35,2023-06-25,0.51113737,0.7172384
hotel_35,2023-06-26,0.59326667,0.7681719
